22/02/2014 15:58:21,Subscription,localhost:3000,"[class,eq,'oneITS']",siena,108.48791ms
22/02/2014 16:01:18,Subscription,localhost:3000,"[class,eq,'oneITS']",siena,36.480683ms
22/02/2014 16:02:04,Subscription,localhost:3000,"[value,<,200]",siena,36.74737ms
22/02/2014 16:10:13,Subscription,localhost:3000,"[value,<,200]",siena,42.837154ms
22/02/2014 16:13:15,Subscription,localhost:3000,"[value,<,200]",siena,34.968234ms
22/02/2014 16:17:16,Subscription,localhost:3000,"[value,<,200]",siena,34.97631ms
22/02/2014 16:19:14,Subscription,localhost:3000,"[value,<,200]",siena,38.586963ms
22/02/2014 16:21:43,Subscription,localhost:3000,"[value,<,200.0]",siena,38.118541ms
22/02/2014 16:22:21,Subscription,localhost:3000,"[value,>,200.0]",siena,40.149514ms
22/02/2014 16:22:55,Subscription,localhost:3000,"[value,<,200.0]",siena,47.90563ms
22/02/2014 16:25:40,Subscription,localhost:3000,"[value,<,200.0]",siena,28.21688ms
22/02/2014 16:29:26,Subscription,localhost:3000,"[class,eq,'oneITS'],[area,eq,'tor'],[value,<,100]",siena,81.512989ms
22/02/2014 16:30:38,Subscription,localhost:3000,"[class,eq,'oneITS'],[area,eq,'tor'],[value,<,100]",siena,34.502484ms
22/02/2014 16:31:16,Subscription,localhost:3000,"[class,eq,'oneITS'],[area,eq,'tor'],[value,<,90]",siena,37.382562ms
22/02/2014 16:38:17,Subscription,localhost:3000,"[class,eq,'oneITS'],[area,eq,'tor'],[value,<,90]",siena,47.375301ms
22/02/2014 16:40:01,Subscription,localhost:3000,"[class,eq,'oneITS'],[area,eq,'tor'],[value,<,100]",siena,34.102988ms
22/02/2014 16:41:19,Subscription,localhost:3000,"[class,eq,'oneITS'],[area,eq,'tor'],[value,<,100]",siena,39.657243ms
22/02/2014 16:44:59,Subscription,localhost:3000,"[class,eq,'oneITS'],[area,eq,'tor'],[value,<,100]",siena,41.44188ms
22/02/2014 16:54:54,Subscription,localhost:3000,"[class,eq,'oneITS'],[area,eq,'tor'],[value,<,100]",siena,30.815752ms
22/02/2014 16:56:07,Subscription,localhost:3000,"[class,eq,'oneITS'],[area,eq,'tor'],[value,<,100]",siena,21.755961ms
